ContractNumber,LineOfBusiness,SeriesName,PlanName,ActivityStatus,CoverageType,BillingMethod,ModalPremium,InForceFlag,PayUpDate,Duration,Language,CreditCardNo,CardType,BankingTransitNumber,BankingAccountType,BankingAccountNumber,ContractID,Product_ProductID
POL82562710,Universal Life,S200,Select,Active,Joint,Annual,594.38,Y,2040-12-08,30,English,3545154768589773,jcb,098790075,Savings,8121955076,343,13
POL82589074,Whole Life,S300,Preferred,Active,Individual,Monthly,185.94,N,2040-12-09,11,English,3563380998677065,jcb,022984816,Savings,1602124601,344,12
POL84282720,Universal Life,S300,Select,Active,Individual,Monthly,161.83,Y,2040-12-10,26,English,5610780897875828853,Amex,387566109,Checking,8803227052,345,9
POL28870859,Universal Life,S100,Select,Lapsed,Joint,Monthly,447.06,N,2040-12-11,18,English,676182990926824268,maestro,191567670,Checking,6125920694,346,13
POL44277768,Universal Life,S100,Standard,Active,Individual,Monthly,391.11,Y,2040-12-12,12,Mandarin,5602219385191025,Amex,312178029,Savings,8157755502,347,13
POL83793587,Term Life,S100,Select,Lapsed,Individual,Monthly,166.25,N,2040-12-13,19,Spanish,3566941932294817,jcb,863950413,Checking,7966364214,348,13
POL91540277,Whole Life,S300,Preferred,Active,Individual,Quarterly,473.99,Y,2040-12-14,30,Mandarin,3566901026932102,jcb,641639039,Savings,5222679014,349,13
POL35954354,Whole Life,S200,Standard,Active,Individual,Annual,826.89,N,2040-12-15,11,Mandarin,50208840583946847,maestro,212081202,Checking,2063785903,350,14
POL25054898,Term Life,S300,Standard,Lapsed,Joint,Annual,463.54,Y,2040-12-16,14,Mandarin,30458592779718,Amex,548486488,Checking,1176123299,351,1
POL74452877,Term Life,S300,Select,Active,Joint,Annual,534.83,N,2040-12-17,20,Mandarin,3588855692274476,jcb,983578081,Checking,9306332824,352,4
POL50032347,Universal Life,S200,Preferred,Active,Individual,Monthly,739.45,Y,2040-12-18,29,Spanish,6759543201539235,switch,739878071,Savings,4189364016,353,12
POL93432831,Whole Life,S300,Preferred,Lapsed,Individual,Annual,129.53,N,2040-12-19,26,Spanish,30496909241154,Amex,385906121,Checking,8751819805,354,7
POL19378314,Whole Life,S200,Preferred,Active,Individual,Annual,414.33,Y,2040-12-20,16,English,6304102139800369632,maestro,799037045,Checking,1352460251,355,3
POL45679746,Whole Life,S300,Select,Active,Individual,Monthly,247.64,N,2040-12-21,28,English,5156266234315529,mastercard,354379056,Savings,2209781288,356,9
POL98222019,Whole Life,S100,Preferred,Lapsed,Joint,Annual,85.16,Y,2040-12-22,28,English,3553120945471374,jcb,064971291,Savings,2356024805,357,5
POL72509773,Whole Life,S100,Preferred,Paid Up,Joint,Quarterly,679.94,N,2040-12-23,20,Spanish,3539236370918348,jcb,193971511,Savings,8979222737,358,5
POL88299030,Whole Life,S300,Preferred,Lapsed,Individual,Annual,851.64,Y,2040-12-24,30,Spanish,349017885397053,Amex,778612627,Checking,7400108141,359,15
POL22106814,Term Life,S100,Select,Lapsed,Individual,Quarterly,363.13,N,2040-12-25,20,English,67591247353061212,maestro,058481045,Savings,8765099868,360,9
POL76619421,Universal Life,S100,Select,Paid Up,Individual,Quarterly,821.89,Y,2040-12-26,11,Spanish,06043429516510655,maestro,415901885,Checking,9962009261,361,3
POL92410874,Term Life,S200,Standard,Paid Up,Individual,Quarterly,75.76,N,2040-12-27,18,English,3551405573445689,jcb,064645198,Checking,0102800441,362,5
POL10065120,Universal Life,S300,Select,Paid Up,Individual,Quarterly,426.95,Y,2040-12-28,25,Spanish,3578993730973155,jcb,349953668,Checking,1676896248,363,3
POL65469951,Universal Life,S100,Select,Lapsed,Individual,Annual,817.14,N,2040-12-29,13,Spanish,3572214631549978,jcb,175375026,Savings,2272217244,364,11
POL10120271,Whole Life,S200,Select,Active,Joint,Monthly,786.52,Y,2040-12-30,19,Spanish,3548862204057190,jcb,957194639,Checking,1604062624,365,2
POL32483269,Term Life,S100,Preferred,Lapsed,Joint,Monthly,187.0,N,2040-12-31,19,Mandarin,3530045123027490,jcb,790189661,Savings,3997991328,366,6
POL48538473,Universal Life,S200,Select,Lapsed,Joint,Annual,693.42,Y,2041-01-01,11,Mandarin,50383528088401213,maestro,759055800,Checking,0033492322,367,7
POL82322056,Universal Life,S300,Standard,Lapsed,Individual,Quarterly,719.53,N,2041-01-02,12,Spanish,3531349056145439,jcb,220133930,Savings,8720169263,368,9
POL76343234,Universal Life,S100,Standard,Lapsed,Joint,Quarterly,244.98,Y,2041-01-03,30,Spanish,5602252462839911703,Amex,279406770,Savings,9881910852,369,4
POL07917710,Whole Life,S100,Preferred,Paid Up,Joint,Quarterly,891.92,N,2041-01-04,19,English,30351226934199,Amex,340803955,Savings,7197503900,370,14
POL60762408,Universal Life,S300,Standard,Paid Up,Joint,Quarterly,836.44,Y,2041-01-05,21,Mandarin,5589647574759235,mastercard,733795992,Savings,0231799866,371,6
POL27188582,Term Life,S200,Standard,Paid Up,Joint,Quarterly,330.83,N,2041-01-06,26,Spanish,3557400030784550,jcb,623268673,Checking,2704639302,372,9
POL23153711,Term Life,S200,Preferred,Active,Individual,Monthly,78.9,Y,2041-01-07,19,Mandarin,3537643922926491,jcb,605747003,Savings,3524235144,373,9
POL36745214,Universal Life,S100,Preferred,Active,Individual,Quarterly,858.95,N,2041-01-08,29,Spanish,3572965300462112,jcb,568306185,Checking,1638544285,374,11
POL63088127,Universal Life,S300,Standard,Lapsed,Joint,Annual,335.65,Y,2041-01-09,28,English,3589391869646949,jcb,665485073,Savings,3779410328,375,8
POL04198159,Universal Life,S200,Select,Lapsed,Individual,Quarterly,125.39,N,2041-01-10,10,Spanish,5010120399049538,mastercard,558020956,Savings,3868037729,376,2
POL11362649,Term Life,S300,Select,Active,Joint,Quarterly,788.55,Y,2041-01-11,18,English,4175003968963491,Amex,419460601,Savings,6240164874,377,8
POL35552583,Term Life,S300,Standard,Paid Up,Joint,Quarterly,413.06,N,2041-01-12,17,English,3534748173652259,jcb,750326647,Savings,6669573172,378,10
POL61873026,Universal Life,S100,Select,Paid Up,Individual,Quarterly,218.14,Y,2041-01-13,19,Spanish,4508191357494133,Amex,171091112,Savings,5557283534,379,11
POL22493323,Term Life,S300,Standard,Active,Individual,Annual,314.06,N,2041-01-14,30,Spanish,3585127290022415,jcb,839447166,Savings,7446456775,380,13
POL90519492,Term Life,S100,Select,Active,Joint,Annual,526.21,Y,2041-01-15,19,Spanish,5610489695810875,bankcard,853440968,Checking,9291801574,381,9
POL59326494,Whole Life,S200,Standard,Paid Up,Individual,Monthly,364.59,N,2041-01-16,18,English,6771496112373802,laser,149451446,Checking,6700825770,382,1
POL14011590,Universal Life,S200,Preferred,Active,Joint,Annual,74.67,Y,2041-01-17,16,Mandarin,3566833622446908,jcb,278519061,Savings,1174609129,383,6
POL25561769,Term Life,S200,Select,Active,Individual,Quarterly,59.76,N,2041-01-18,15,English,3547465841550063,jcb,847709767,Checking,3096469253,384,13
POL60788627,Term Life,S200,Select,Lapsed,Individual,Monthly,743.98,Y,2041-01-19,28,Spanish,6761227712143895,maestro,763599433,Savings,5080690896,385,9
POL09038854,Universal Life,S200,Standard,Active,Joint,Quarterly,764.59,N,2041-01-20,17,English,5020749074287407344,maestro,539178335,Savings,9065403841,386,7
POL78113075,Universal Life,S100,Standard,Active,Individual,Monthly,666.58,Y,2041-01-21,15,English,5038425474400656,maestro,981528672,Checking,9375084591,387,5
POL21645546,Universal Life,S100,Select,Active,Joint,Annual,740.44,N,2041-01-22,24,English,3576789701015824,jcb,724563606,Checking,8070989227,388,5
POL15729456,Term Life,S200,Standard,Paid Up,Joint,Quarterly,763.19,Y,2041-01-23,22,Mandarin,4041595677074215,visa,596179163,Savings,9956580712,389,9
POL39194968,Whole Life,S300,Standard,Paid Up,Individual,Quarterly,761.02,N,2041-01-24,15,Spanish,3547531204363970,jcb,633349844,Checking,3715686554,390,6
POL68129840,Term Life,S200,Select,Active,Joint,Quarterly,264.01,Y,2041-01-25,25,English,501823318505453124,maestro,596224967,Checking,5021907409,391,2
POL37207100,Whole Life,S100,Standard,Paid Up,Joint,Annual,190.73,N,2041-01-26,23,English,6761724412602637673,maestro,933808653,Checking,0235200897,392,7
POL90835867,Universal Life,S100,Select,Lapsed,Individual,Annual,123.09,Y,2041-01-27,12,Spanish,3547453013319434,jcb,771270884,Checking,8459845576,393,6
POL35817843,Universal Life,S300,Standard,Paid Up,Individual,Monthly,69.97,N,2041-01-28,16,Spanish,3542909040860380,jcb,005340238,Checking,3496600927,394,13
POL69760203,Term Life,S200,Standard,Paid Up,Joint,Quarterly,412.23,Y,2041-01-29,30,Mandarin,67061603426435224,laser,424199610,Savings,8698208733,395,6
POL69611142,Universal Life,S300,Select,Lapsed,Joint,Monthly,872.88,N,2041-01-30,28,Mandarin,201623097446401,Amex,993771365,Checking,3172875794,396,14
POL93175193,Whole Life,S200,Select,Active,Individual,Annual,386.05,Y,2041-01-31,16,English,6333187006902268276,switch,758097508,Savings,6900830030,397,1
POL73967100,Universal Life,S200,Select,Lapsed,Joint,Quarterly,99.99,N,2041-02-01,28,Mandarin,3581590383761252,jcb,488418601,Savings,6123444707,398,12
POL22971235,Term Life,S300,Preferred,Lapsed,Individual,Monthly,162.3,Y,2041-02-02,13,English,5048377081833191,mastercard,295161880,Checking,9107811993,399,12
POL06700019,Term Life,S300,Select,Paid Up,Joint,Annual,112.68,N,2041-02-03,30,English,201980292732690,Amex,209744517,Savings,2052492804,400,6
POL31328067,Universal Life,S300,Standard,Lapsed,Joint,Quarterly,258.35,Y,2041-02-04,27,English,633327284477966539,switch,184621407,Savings,4833444063,401,13
POL79794432,Whole Life,S300,Select,Paid Up,Individual,Annual,341.65,N,2041-02-05,25,Mandarin,372301876686249,Amex,871191791,Savings,3421075590,402,13
POL84848689,Whole Life,S200,Standard,Active,Individual,Annual,656.41,Y,2041-02-06,10,Mandarin,4175001134309292,Amex,622755498,Checking,1732314592,403,6
POL88249894,Whole Life,S300,Standard,Paid Up,Individual,Monthly,178.5,N,2041-02-07,13,Mandarin,3587676759602180,jcb,849492290,Savings,5131528027,404,13
POL30459657,Whole Life,S200,Preferred,Lapsed,Individual,Annual,866.41,Y,2041-02-08,15,Spanish,4911991021641461091,switch,363946910,Checking,3569984790,405,4
POL41080614,Universal Life,S100,Standard,Lapsed,Joint,Quarterly,693.62,N,2041-02-09,18,English,5407764131691452,Amex,534214188,Savings,6284332058,406,15
POL03178996,Term Life,S300,Select,Active,Individual,Quarterly,212.38,Y,2041-02-10,29,Spanish,5641823116971365130,switch,753000530,Savings,9819985767,407,15
POL80312116,Universal Life,S200,Preferred,Active,Joint,Monthly,624.72,N,2041-02-11,13,Spanish,3537100598816191,jcb,140602295,Checking,6208024240,408,10
POL69691305,Term Life,S200,Standard,Paid Up,Individual,Quarterly,89.36,Y,2041-02-12,16,Mandarin,4905202293569331,switch,638955048,Checking,1448611433,409,11
POL41904167,Universal Life,S300,Select,Active,Individual,Monthly,94.84,N,2041-02-13,18,English,6304026037363889,laser,871226772,Checking,7179597700,410,14
POL30585312,Whole Life,S200,Standard,Active,Individual,Monthly,200.67,Y,2041-02-14,16,Spanish,3589919400821520,jcb,563986747,Checking,4069851539,411,7
POL35102325,Whole Life,S300,Preferred,Paid Up,Joint,Monthly,430.94,N,2041-02-15,19,Spanish,36440816836155,Amex,493878564,Savings,9389149580,412,8
POL85813827,Whole Life,S100,Select,Paid Up,Joint,Annual,627.38,Y,2041-02-16,30,Spanish,4508469056328327,Amex,603975187,Savings,5845598327,413,1
POL72488558,Term Life,S100,Standard,Active,Joint,Annual,869.41,N,2041-02-17,29,English,3530512805550966,jcb,363022894,Savings,2931946776,414,10
POL09473936,Universal Life,S300,Preferred,Active,Joint,Annual,460.6,Y,2041-02-18,18,English,3561967932506202,jcb,242929810,Checking,8948370251,415,5
POL70016800,Universal Life,S100,Standard,Lapsed,Individual,Monthly,522.07,N,2041-02-19,19,Spanish,6376678950811592,Amex,143465985,Savings,3670511501,416,13
POL50503289,Universal Life,S200,Standard,Paid Up,Individual,Quarterly,428.15,Y,2041-02-20,23,Spanish,371926219507081,Amex,634354234,Checking,8451089016,417,8
POL10535089,Whole Life,S300,Preferred,Lapsed,Individual,Annual,809.41,N,2041-02-21,13,Spanish,490345220777045718,switch,580304469,Savings,4113486908,418,7
POL79211375,Whole Life,S100,Preferred,Active,Joint,Quarterly,299.65,Y,2041-02-22,30,Spanish,3552498021875705,jcb,632426868,Checking,8207678242,419,11
POL21552046,Term Life,S100,Preferred,Active,Joint,Annual,177.81,N,2041-02-23,20,English,3560198862937362,jcb,493412071,Checking,4417136751,420,8
POL86533874,Universal Life,S200,Preferred,Lapsed,Individual,Quarterly,724.1,Y,2041-02-24,24,Mandarin,4936185234049034252,switch,838421465,Checking,0937539692,421,4
POL01826041,Term Life,S300,Select,Active,Joint,Quarterly,199.2,N,2041-02-25,21,English,3540841406996106,jcb,014809415,Savings,5087471473,422,7
POL55074980,Whole Life,S200,Select,Active,Individual,Annual,488.19,Y,2041-02-26,14,Spanish,201608976643897,Amex,746703281,Savings,6574786631,423,5
POL73524484,Universal Life,S100,Standard,Active,Individual,Annual,898.4,N,2041-02-27,13,Spanish,372301060923051,Amex,284090291,Checking,1340491932,424,8
POL88464064,Universal Life,S300,Select,Active,Joint,Monthly,838.39,Y,2041-02-28,24,Mandarin,4026306567004174,Amex,609793250,Savings,7007403754,425,9
POL61046377,Universal Life,S100,Select,Lapsed,Joint,Annual,63.56,N,2041-03-01,13,Mandarin,6759515309346960,switch,131251988,Checking,9777022420,426,6
POL25093680,Whole Life,S100,Standard,Active,Individual,Monthly,837.93,Y,2041-03-02,23,English,3575013526545738,jcb,980909026,Checking,3266593437,427,12
POL23549548,Whole Life,S300,Preferred,Paid Up,Joint,Monthly,764.18,N,2041-03-03,30,English,30070899154667,Amex,354116535,Savings,7747118192,428,4
POL02894684,Universal Life,S200,Preferred,Paid Up,Individual,Annual,624.03,Y,2041-03-04,25,Spanish,3588315322492873,jcb,794996721,Savings,3227105027,429,12
POL95140713,Term Life,S200,Select,Paid Up,Individual,Quarterly,473.81,N,2041-03-05,24,Spanish,3560112911077542,jcb,568596618,Savings,9200828804,430,9
POL53418410,Term Life,S200,Standard,Lapsed,Individual,Annual,531.23,Y,2041-03-06,20,English,3533381880484989,jcb,040527343,Checking,5903768434,431,7
POL85026539,Whole Life,S200,Preferred,Active,Individual,Monthly,887.94,N,2041-03-07,15,English,3554046474056634,jcb,819818207,Checking,5253659430,432,12
POL62332856,Term Life,S300,Standard,Lapsed,Individual,Monthly,727.32,Y,2041-03-08,11,Mandarin,3563346475898037,jcb,436364073,Savings,2534489373,433,7
POL52855172,Universal Life,S100,Select,Active,Joint,Quarterly,103.41,N,2041-03-09,19,Mandarin,3569090702168889,jcb,656385177,Checking,1611171255,434,8
POL23579195,Universal Life,S200,Preferred,Paid Up,Individual,Quarterly,605.59,Y,2041-03-10,20,English,5610766602900992,Amex,692965746,Checking,0590095887,435,5
POL86533353,Universal Life,S200,Standard,Active,Individual,Monthly,670.77,N,2041-03-11,21,English,5198116141581558,mastercard,042100828,Savings,5570636283,436,4
POL83348247,Universal Life,S300,Standard,Lapsed,Individual,Quarterly,611.94,Y,2041-03-12,17,Spanish,3568705355826159,jcb,634356040,Checking,4086601294,437,4
POL88085173,Term Life,S100,Select,Paid Up,Joint,Monthly,251.7,N,2041-03-13,13,Mandarin,6382251450518059,Amex,918941166,Savings,8813812625,438,2
POL47238550,Universal Life,S100,Standard,Lapsed,Individual,Annual,851.16,Y,2041-03-14,20,English,490547909018689898,switch,009231442,Savings,1054325737,439,13
POL56415007,Term Life,S300,Standard,Lapsed,Individual,Annual,567.08,N,2041-03-15,16,English,3579998393915046,jcb,128647378,Checking,9683533265,440,3
POL92434141,Whole Life,S100,Standard,Active,Individual,Annual,245.34,Y,2041-03-16,15,English,5048379815496378,mastercard,367334166,Checking,1590651928,441,9
POL01396335,Term Life,S300,Preferred,Active,Individual,Quarterly,693.87,N,2041-03-17,26,Spanish,3529856372719998,jcb,832647673,Checking,2319410041,442,11
POL90850988,Term Life,S300,Select,Active,Joint,Annual,776.71,Y,2041-03-18,30,Spanish,3576380136939554,jcb,464078923,Savings,5311526334,443,7
POL52748817,Term Life,S300,Select,Active,Joint,Annual,380.63,N,2041-03-19,20,Mandarin,30365231665622,Amex,734532390,Savings,7339023262,444,13
POL77429380,Whole Life,S100,Standard,Lapsed,Individual,Quarterly,639.57,Y,2041-03-20,11,Mandarin,5108757974629250,mastercard,596370219,Checking,7139271034,445,11
POL65290536,Universal Life,S100,Standard,Paid Up,Individual,Monthly,249.62,N,2041-03-21,17,Spanish,3559628540997589,jcb,686650233,Savings,9418174522,446,4
POL12705577,Universal Life,S100,Standard,Paid Up,Individual,Monthly,564.7,Y,2041-03-22,23,Spanish,4913680765658999,Amex,213612582,Savings,6678107544,447,12
POL24912553,Term Life,S300,Select,Paid Up,Joint,Monthly,55.03,N,2041-03-23,13,English,3545747504806623,jcb,154004425,Savings,3926459558,448,9
POL20007413,Universal Life,S300,Standard,Active,Individual,Monthly,144.41,Y,2041-03-24,13,English,501888622100355036,maestro,387171676,Savings,8976423777,449,3
POL25471553,Term Life,S100,Select,Active,Individual,Quarterly,797.96,N,2041-03-25,30,Mandarin,3583032127780056,jcb,266922329,Savings,8932712604,450,3
POL56333258,Whole Life,S200,Preferred,Active,Joint,Monthly,52.04,Y,2041-03-26,15,English,6333475267884950445,switch,486606588,Checking,0627565999,451,15
POL42004445,Whole Life,S100,Select,Paid Up,Joint,Quarterly,76.04,N,2041-03-27,10,Spanish,6304843392819424,maestro,393794137,Savings,1986991251,452,14
POL43411028,Whole Life,S200,Preferred,Lapsed,Joint,Monthly,134.77,Y,2041-03-28,28,Spanish,5341784901094934,mastercard,326704033,Checking,7998071618,453,12
POL70652109,Term Life,S200,Preferred,Lapsed,Joint,Quarterly,231.59,N,2041-03-29,16,English,5100147784775758,mastercard,063874429,Checking,6335648009,454,11
POL90202124,Whole Life,S300,Standard,Active,Individual,Annual,897.14,Y,2041-03-30,10,Spanish,3556429978836024,jcb,354767188,Savings,3615915751,455,3
POL33788140,Whole Life,S200,Preferred,Lapsed,Individual,Quarterly,482.74,N,2041-03-31,28,Spanish,670973122321520889,laser,508689671,Savings,3248857321,456,13
POL50323958,Whole Life,S300,Preferred,Lapsed,Individual,Quarterly,305.22,Y,2041-04-01,24,Mandarin,3578438286872914,jcb,070082067,Checking,7966704506,457,7
POL64004414,Whole Life,S300,Select,Paid Up,Individual,Quarterly,316.02,N,2041-04-02,23,English,677124969178259372,laser,058542831,Savings,9747968319,458,12
POL14821101,Universal Life,S100,Standard,Active,Joint,Annual,131.38,Y,2041-04-03,22,Spanish,6371629351064484,Amex,458613867,Checking,9154622175,459,2
POL35519534,Universal Life,S200,Standard,Paid Up,Joint,Annual,152.43,N,2041-04-04,22,Spanish,3575110837335591,jcb,870066499,Checking,6045672379,460,3
POL08936550,Term Life,S300,Select,Paid Up,Joint,Monthly,314.66,Y,2041-04-05,27,Mandarin,50386818625504364,maestro,287270621,Checking,2272970889,461,6
POL17366881,Term Life,S100,Standard,Active,Individual,Quarterly,344.46,N,2041-04-06,22,English,374622172531682,Amex,445821148,Checking,6741248947,462,9
POL40290837,Universal Life,S200,Standard,Lapsed,Individual,Monthly,735.59,Y,2041-04-07,10,English,3576663838844226,jcb,631627144,Checking,4302725802,463,3
POL23370524,Whole Life,S100,Preferred,Paid Up,Joint,Monthly,497.45,N,2041-04-08,28,English,5436555377845835,mastercard,566106582,Savings,9751890241,464,7
POL58488461,Term Life,S100,Standard,Active,Individual,Annual,732.82,Y,2041-04-09,26,Mandarin,6380876508063617,Amex,282406021,Checking,0906480696,465,15
POL65474595,Universal Life,S300,Preferred,Lapsed,Individual,Quarterly,882.04,N,2041-04-10,10,English,3546757830011409,jcb,263348447,Checking,6467983036,466,12
POL28354865,Whole Life,S100,Standard,Paid Up,Individual,Annual,415.59,Y,2041-04-11,17,Spanish,3589277299958477,jcb,293125991,Checking,0058876648,467,11
POL47781496,Term Life,S200,Select,Active,Individual,Quarterly,667.01,N,2041-04-12,18,Spanish,3563598255097376,jcb,492501276,Checking,6626556135,468,9
POL54335244,Universal Life,S300,Standard,Active,Individual,Monthly,875.47,Y,2041-04-13,11,Spanish,67592925436264171,maestro,602430850,Savings,6402926867,469,9
POL82761603,Whole Life,S300,Select,Active,Individual,Annual,161.1,N,2041-04-14,14,Spanish,3582732047768401,jcb,495221069,Checking,9265943843,470,5
POL52092579,Universal Life,S300,Standard,Lapsed,Joint,Annual,454.82,Y,2041-04-15,14,Spanish,5520268198376892,mastercard,828048179,Checking,9950123459,471,10
POL06034352,Universal Life,S100,Standard,Lapsed,Joint,Monthly,75.77,N,2041-04-16,29,English,4026870470831288,Amex,686636255,Checking,4942702547,472,7
POL71412265,Term Life,S200,Preferred,Active,Joint,Annual,184.33,Y,2041-04-17,20,Spanish,3563047710700190,jcb,340931753,Savings,0455009579,473,8
POL69387743,Whole Life,S300,Preferred,Lapsed,Individual,Monthly,514.88,N,2041-04-18,28,Mandarin,5610021493805441,bankcard,018776455,Savings,3590332063,474,7
POL00390956,Universal Life,S200,Standard,Active,Joint,Quarterly,528.2,Y,2041-04-19,26,Spanish,3537019825687425,jcb,818108787,Savings,5521008241,475,11
POL13601037,Universal Life,S100,Standard,Active,Individual,Annual,239.9,N,2041-04-20,12,English,6391113139994185,Amex,862606021,Savings,1109381025,476,4
POL77000982,Universal Life,S300,Select,Paid Up,Joint,Monthly,637.8,Y,2041-04-21,15,Mandarin,5602227170536700,bankcard,385232490,Savings,8469772431,477,4
POL58353612,Term Life,S300,Select,Lapsed,Joint,Annual,53.86,N,2041-04-22,14,Mandarin,3580599243967844,jcb,647148304,Savings,1964280225,478,2
POL49363002,Whole Life,S200,Preferred,Lapsed,Joint,Quarterly,120.98,Y,2041-04-23,26,English,3573830492650339,jcb,924073587,Savings,2659169394,479,14
POL67993541,Whole Life,S100,Select,Paid Up,Individual,Monthly,728.31,N,2041-04-24,30,Spanish,3533973646940310,jcb,606274146,Checking,1619759291,480,15
POL42144138,Term Life,S200,Preferred,Active,Joint,Annual,326.56,Y,2041-04-25,13,Mandarin,3561156358947419,jcb,647873231,Checking,3502886258,481,12
POL15042974,Universal Life,S100,Preferred,Lapsed,Joint,Quarterly,71.7,N,2041-04-26,30,Mandarin,6771417097956284676,laser,607973265,Savings,7184382259,482,11
POL79461206,Term Life,S200,Select,Lapsed,Individual,Annual,896.31,Y,2041-04-27,23,Spanish,3582115405333580,jcb,832219675,Savings,6946211909,483,12
POL40898662,Whole Life,S300,Select,Lapsed,Joint,Quarterly,511.95,N,2041-04-28,25,Spanish,5108753145067736,mastercard,652518700,Checking,9327084578,484,9
POL82204060,Universal Life,S100,Preferred,Paid Up,Joint,Monthly,183.65,Y,2041-04-29,27,English,3547565867944726,jcb,683070306,Checking,3640192106,485,9
POL57286964,Universal Life,S300,Select,Lapsed,Individual,Annual,314.13,N,2041-04-30,20,Spanish,3564440207971110,jcb,647108827,Checking,5216488945,486,3
POL47689952,Universal Life,S100,Preferred,Active,Individual,Monthly,134.57,Y,2041-05-01,17,Spanish,3585561746221041,jcb,677488336,Savings,8830221478,487,2
POL23909531,Whole Life,S100,Preferred,Lapsed,Joint,Monthly,207.81,N,2041-05-02,16,Mandarin,3584491705653748,jcb,958305773,Checking,3462039658,488,1
POL85057271,Universal Life,S300,Standard,Paid Up,Joint,Quarterly,363.64,Y,2041-05-03,24,Spanish,5473336627581023,Amex,199540130,Savings,8548212828,489,8
POL11996499,Whole Life,S200,Preferred,Lapsed,Individual,Annual,211.95,N,2041-05-04,20,Mandarin,4917063707737062,Amex,591175254,Checking,9134982783,490,2
POL09900952,Universal Life,S300,Select,Active,Individual,Monthly,822.37,Y,2041-05-05,27,English,3551688756397955,jcb,070531782,Checking,4050874018,491,4
POL37067676,Term Life,S100,Select,Paid Up,Joint,Annual,630.11,N,2041-05-06,17,Mandarin,3541445330495240,jcb,404055692,Checking,3183335522,492,5
POL26872116,Term Life,S300,Standard,Lapsed,Individual,Monthly,230.01,Y,2041-05-07,25,English,3532859023011174,jcb,043671578,Checking,0774788199,493,15
POL11387947,Whole Life,S200,Preferred,Active,Individual,Monthly,858.39,N,2041-05-08,22,English,4680250153696588,visa,995024129,Checking,3857657750,494,5
POL03995085,Whole Life,S200,Preferred,Lapsed,Individual,Annual,617.89,Y,2041-05-09,11,English,3567549763405045,jcb,609939689,Savings,4003189676,495,10
POL66505730,Term Life,S300,Standard,Paid Up,Joint,Quarterly,823.92,N,2041-05-10,15,Spanish,4903258923263796,switch,991657383,Savings,6809318867,496,12
POL46651222,Universal Life,S200,Preferred,Active,Individual,Annual,798.46,Y,2041-05-11,30,Mandarin,676237718969487791,maestro,377819992,Checking,7630007296,497,5
POL44164067,Universal Life,S200,Preferred,Active,Individual,Quarterly,69.04,N,2041-05-12,27,Spanish,6763337908712052,maestro,027667978,Savings,0074290540,498,1
POL89759973,Term Life,S300,Standard,Lapsed,Joint,Quarterly,231.36,Y,2041-05-13,19,Mandarin,3537262303118980,jcb,091769644,Savings,5201704033,499,1
POL59542003,Whole Life,S300,Standard,Paid Up,Individual,Annual,233.39,N,2041-05-14,17,Spanish,3545084513073833,jcb,791005992,Savings,1352269324,500,5
